"0805.2150","Victor Galitski","Tudor D. Stanescu, Victor Galitski and S. Das Sarma","Orbital fluctuation mechanism for superconductivity in iron-based
  compounds","expanded version, 9+ pages, 6 color figures","Phys. Rev. B 78, 195114 (2008).","10.1103/PhysRevB.78.195114",,"cond-mat.supr-con cond-mat.str-el","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We propose orbital fluctuations in a multi-band ground state as the
superconducting pairing mechanism in the new iron-based materials. We develop a
general SU(4) theoretical framework for studying a two-orbital model and
discuss a number of scenarios that may be operational within this orbital
fluctuation paradigm. The orbital and spin symmetry of the superconducting
order parameter is argued to be highly non-universal and dependent on the
details of the underlying band structure. We introduce a minimal two-orbital
model for the Fe-pnictides characterized by non-degenerate orbitals that
strongly mix with each other. They correspond to the iron ""d_xy"" orbital and to
an effective combination of ""d_zx"" and ""d_zy"", respectively. Using this
effective model we perform RPA calculations of susceptibilities and effective
pairing interactions. We find that spin and orbital fluctuations are,
generally, strongly coupled and we identify the parameters that control this
coupling as well as the relative strength of various channels.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 18:29:12 GMT""},{""version"":""v2"",""created"":""Fri, 17 Oct 2008 22:19:13 GMT""}]","2008-11-18"
"0805.2447","Chi-Keung Ng","Xu-Jian Huang, Chi-Keung Ng","An abstract characterization of unital operator spaces","Some remarks were added",,,,"math.OA math.FA","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this article, we give an abstract characterization of the ``identity'' of
an operator space $V$ by looking at a quantity $n_{cb}(V,u)$ which is defined
in analogue to a well-known quantity in Banach space theory. More precisely, we
show that there exists a complete isometry from $V$ to some $\mathcal{L}(H)$
sending $u$ to ${\rm id}_H$ if and only if $n_{cb}(V,u) =1$. We will use it to
give an abstract characterization of operator systems. Moreover, we will show
that if $V$ is a unital operator space and $W$ is a proper complete $M$-ideal,
then $V/W$ is also a unital operator space. As a consequece, the quotient of an
operator system by a proper complete $M$-ideal is again an operator system. In
the appendix, we will also give an abstract characterisation of ``non-unital
operator systems'' using an idea arose from the definition of $n_{cb}(V,u)$.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 06:25:35 GMT""},{""version"":""v2"",""created"":""Tue, 27 May 2008 07:53:28 GMT""}]","2008-05-27"
"0805.2448","Andre Schirmeisen","Dirk Dietzel, Claudia Ritter, Tristan Monninghoff, Harald Fuchs, Andre
  Schirmeisen, and Udo D. Schwarz","Frictional Duality Observed during Nanoparticle Sliding","revised version",,"10.1103/PhysRevLett.101.125505",,"cond-mat.mtrl-sci cond-mat.other","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  One of the most fundamental questions in tribology concerns the area
dependence of friction at the nanoscale. Here, experiments are presented where
the frictional resistance of nanoparticles is measured by pushing them with the
tip of an atomic force microscope. We find two coexisting frictional states:
While some particles show finite friction increasing linearly with the
interface areas of up to 310,000nm^2, other particles assume a state of
frictionless sliding. The results further suggest a link between the degree of
surface contamination and the occurrence of this duality.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 06:15:02 GMT""},{""version"":""v2"",""created"":""Fri, 12 Sep 2008 08:36:21 GMT""}]","2009-11-13"
"0805.2449","Subrata Sarangi","S. Sarangi, P.K. Panda, S.K. Sahu and L. Maharana","Asymmetric nuclear matter : a variational approach","10 pages, 5 figures and 1 table",,"10.1142/S0217979208050279",,"nucl-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We discuss here a self-consistent method to calculate the properties of the
cold asymmetric nuclear matter. In this model, the nuclear matter is dressed
with s-wave pion pairs and the nucleon-nucleon (N-N) interaction is mediated by
these pion pairs, $\omega$ and $\rho$ mesons. The parameters of these
interactions are calculated self-consistently to obtain the saturation
properties like equilibrium binding energy, pressure, compressibility and
symmetry energy. The computed equation of state is then used in the Tolman-
Oppenheimer-Volkoff (TOV) equation to study the mass and radius of a neutron
star in the pure neutron matter limit.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 06:20:18 GMT""}]","2009-11-13"
"0805.2450","David Kielpinski","D. Kielpinski","Ion-trap quantum information processing: experimental status","review article for Frontiers of Physics replace corrupted TeX file","Front. Phys. China, 3, 365 (2008)","10.1007/s11467-008-0034-y",,"quant-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Atomic ions trapped in ultra-high vacuum form an especially well-understood
and useful physical system for quantum information processing. They provide
excellent shielding of quantum information from environmental noise, while
strong, well-controlled laser interactions readily provide quantum logic gates.
A number of basic quantum information protocols have been demonstrated with
trapped ions. Much current work aims at the construction of large-scale
ion-trap quantum computers using complex microfabricated trap arrays. Several
groups are also actively pursuing quantum interfacing of trapped ions with
photons.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 06:22:14 GMT""},{""version"":""v2"",""created"":""Mon, 19 May 2008 10:46:48 GMT""}]","2008-11-16"
"0805.2451","Fang-Pei Chen","Fang-Pei Chen","The Lorentz and Levi-Civita Conservation Laws Prohibit the Existence of
  Black Holes","8 pages,no figure",,,,"physics.gen-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  To propose that black holes do not exist would be the fundamental way to
resolve the contradiction between event horizons and quantum mechanics. In this
paper we shall use the Lorentz and Levi-Civita conservation laws to explain how
an event horizon might not exist, and the reasons for its nonexistence are
presented by using the theory of classical gravity.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 06:28:54 GMT""}]","2008-05-19"
"0805.2452","Marco Micheli","Marco Micheli, Fabrizio Bernardi, David J. Tholen","Updated analysis of the dynamical relation between asteroid 2003 EH1 and
  comets C/1490 Y1 and C/1385 U1","Submitted to Monthly Notices of the RAS Letters Updated with a new
  table and other minor changes","MNRAS, Letters, V.390, Issue 1, pp. L6-L8, 2008","10.1111/j.1745-3933.2008.00510.x",,"astro-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The asteroid 2003 EH1, proposed as the parent body of the Quadrantid meteor
shower, is thought to be the remnant of a past cometary object, tentatively
identified with the historical comets C/1490 Y1 and C/1385 U1. In the present
work we use recovery astrometry to extend the observed arc of 2003 EH1 from 10
months to about 5 years, enough to exclude the proposed direct relationship of
the asteroid with both of the comets.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 06:33:15 GMT""},{""version"":""v2"",""created"":""Tue, 27 May 2008 07:08:37 GMT""}]","2009-09-02"
"0805.2453","Takuya Akahori","Takuya Akahori and Kohji Yoshikawa","Non-Equilibrium Ionization State and Two-Temperature Structure in the
  Linked Region of Abell 399/401","4 pages, 2 figures, submitted to PASJ Letter; accepted June 2","PASJ vol.60, No.4, L19-22 (2008)","10.1093/pasj/60.4.L19",,"astro-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We investigate a non-equilibrium ionization state and two-temperature
structure of the intracluster medium in the linked region of Abell 399/401,
using a series of N-body + SPH simulations, and find that there exist
significant shock layers at the edge of the linked region, and that the
ionization state of iron departs from the ionization equilibrium state at the
shock layers and around the center of the linked region. As for the
two-temperature structure, an obvious difference of temperature between
electrons and ions is found in the edge of the linked regions. K alpha line
emissions of Fe xxiv and Fe xxv are not severely affected by the deviation from
the ionization equilibrium state around the center of the linked region,
suggesting that the detection of relatively high metallicity in this area
cannot be ascribed to the non-equilibrium ionization state of the intracluster
medium. On the other hand, the K alpha emissions are significantly deviated
from the equilibrium values at the shock layers, and the intensity ratio of K
alpha lines between Fe xxiv-xxv and Fe xxvi is found to be significantly
altered from that in the ionization equilibrium state.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 08:14:11 GMT""},{""version"":""v2"",""created"":""Fri, 6 Jun 2008 01:41:03 GMT""}]","2015-05-13"
"0805.2455","Herve Mohrbach","Pierre Gosselin (IF), Hocine Boumrar, Herve Mohrbach (FCN, LPMC - EA
  3468)","Semiclassical quantization of electrons in magnetic fields: the
  generalized Peierls substitution",,"Europhysics Letters (EPL) 84 (2008) 50002","10.1209/0295-5075/84/50002",,"cond-mat.mes-hall hep-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  A generalized Peierls substitution which takes into account a Berry phase
term must be considered for the semiclassical treatment of electrons in a
magnetic field. This substitution turns out to be an essential element for the
correct determination of the semiclassical equations of motion as well as for
the semiclassical Bohr-Sommerfeld quantization condition for energy levels. A
general expression for the cross-sectional area is derived and used as an
illustration for the calculation of the energy levels of Bloch and Dirac
electrons.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 06:37:44 GMT""},{""version"":""v2"",""created"":""Fri, 6 Jun 2008 13:11:04 GMT""},{""version"":""v3"",""created"":""Tue, 5 Aug 2008 11:03:20 GMT""}]","2009-02-19"
"0805.2456","Laura J. Simon","Laura J. Simon, Vernon M. Chinchilli","A pattern mixture model for a paired $2\times2$ crossover design","Published in at http://dx.doi.org/10.1214/193940307000000185 the IMS
  Collections (http://www.imstat.org/publications/imscollections.htm) by the
  Institute of Mathematical Statistics (http://www.imstat.org)","IMS Collections 2008, Vol. 1, 257-271","10.1214/193940307000000185","IMS-COLL1-IMSCOLL119","math.ST stat.TH","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  When conducting a paired $2\times2$ crossover design, each subject is paired
with another subject with similar characteristics. The pair is then randomized
to the same sequence of two treatments. That is, the two subjects receive the
first experimental treatment, and then they cross over and receive the other
experimental treatment(s). The paired $2\times2$ crossover design that was used
in the Beta Adrenergic Response by GEnotype (BARGE) Study conducted by the
National Heart, Lung and Blood Institute's Asthma Clinical Research Network
(ACRN) has been described elsewhere. When the data arising from such a design
are balanced and complete -- or if at least any missingness that occurs is at
random -- general linear mixed-effects model methods can be used to analyze the
data. In this paper, we present a method based on a pattern-mixture model for
analyzing the data arising from a paired $2\times2$ crossover design when some
of the data are missing in a non-ignorable fashion. Because of its inherent
scientific interest, we focus our particular attention on the estimation of the
treatment-by-type of subject interaction term. Finally, we illustrate the
pattern-mixture model methods described in this paper on the data arising from
the BARGE study.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 06:47:41 GMT""}]","2008-12-18"
"0805.2457","Denys Dutykh","Fr\'ed\'eric Dias (CMLA, LRC Meso), Denys Dutykh (LAMA), Jean-Michel
  Ghidaglia (CMLA, LRC Meso)","A compressible two-fluid model for the finite volume simulation of
  violent aerated flows. Analytical properties and numerical results","38 pages, 22 figures; CMLA research report; Other authors papers and
  animations related to this work can be downloaded from:
  http://www.lama.univ-savoie.fr/~dutykh/","Research report of Ecole Normale Sup\'erieure de Cachan, France,
  2009",,,"physics.class-ph math.AP math.NA physics.comp-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In the study of ocean wave impact on structures, one often uses Froude
scaling since the dominant force is gravity. However the presence of trapped or
entrained air in the water can significantly modify wave impacts. When air is
entrained in water in the form of small bubbles, the acoustic properties in the
water change dramatically and for example the speed of sound in the mixture is
much smaller than in pure water, and even smaller than in pure air. While some
work has been done to study small-amplitude disturbances in such mixtures,
little work has been done on large disturbances in air-water mixtures. We
propose a basic two-fluid model in which both fluids share the same velocities.
It is shown that this model can successfully mimic water wave impacts on
coastal structures. Even though this is a model without interface, waves can
occur. Their dispersion relation is discussed and the formal limit of pure
phases (interfacial waves) is considered. The governing equations are
discretized by a second-order finite volume method. Numerical results are
presented. It is shown that this basic model can be used to study violent
aerated flows, especially by providing fast qualitative estimates.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 06:52:16 GMT""},{""version"":""v2"",""created"":""Fri, 3 Jul 2009 06:34:13 GMT""},{""version"":""v3"",""created"":""Thu, 22 Oct 2009 18:43:33 GMT""}]","2020-02-20"
"0805.2458","Supurna Sinha","Supurna Sinha","Free Energy of Twisted Semiflexible Polymers","To appear in Physical Review E","Physical Review E, 77, 061903 (2008)","10.1103/PhysRevE.77.061903",,"cond-mat.soft","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We investigate the role of fluctuations in single molecule measurements of
torque-link ($t-lk$) curves. For semiflexible polymers of finite persistence
length (i.e. polymers with contour length $L$ comparable to the persistence
length $L_P$), the torque versus link curve in the constant torque (isotorque)
ensemble is distinct from the one in the constant link (isolink) ensemble.
Thus, one encounters the conceptually interesting issue of a ``free energy of
transition'' in switching ensembles while making torque-link measurements. We
predict the dependence on the semiflexibility parameter $\beta = L/L_P$ of this
extra contribution to the free energy which shows up as an area in the
torque-link plane. This can be tested against future torque-link experiments
with single biopolymers. We bring out the inequivalence of torque-link curves
for a stiff polymer and present explicit analytical expressions for the {\it
distinct} torque-link relations in the two ensembles and the free energy
difference in switching ensembles in this context. The predictions of our work
can be tested against single molecule experiments on torsionally constrained
biopolymers.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 07:07:35 GMT""}]","2009-11-13"
"0805.2459","Yongjie Sun","Y.J. Sun, C. Li, M. Shao, B. Gui, Y.E. Zhao, H.F. Chen, Z.B. Xu, L.J.
  Ruan, G.J. Lin, X. Wang, Y. Wang, Z.B. Tang, G. Eppley, P. Fachini, M. Kohl,
  J. Liu, W.J. Llope, R. Majka, T. Nussbaun, E. Ramberg, T. Sakuma, F. Simon,
  N. Smirnov, B. Surrow, and D. Underwood","New Prototype Multi-gap Resistive Plate Chambers with Long Strips","9 pages, 13 figures, submitted to Nucl. Instr. and Meth. A","Nucl.Instrum.Meth.A593:307-313,2008","10.1016/j.nima.2008.05.042",,"physics.ins-det","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  A new kind of Multi-gap Resistive Plate Chamber (MRPC) has been built for the
large-area Muon Telescope Detector (MTD) for the STAR experiment at RHIC. These
long read-out strip MRPCs (LMRPCs) have an active area of 87.0 x 17.0 cm2 and
ten 250 um-thick gas gaps arranged as a double stack. Each read-out strip is
2.5 cm wide and 90 cm long. The signals are read-out at both ends of each
strip. Cosmic ray tests indicate a time resolution of ~70 ps and a detection
efficiency of greater than 95%. Beam tests performed at T963 at Fermilab
indicate a time resolution of 60-70 ps and a spatial resolution of ~1 cm along
the strip direction.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 07:12:25 GMT""}]","2008-11-26"
"0805.2460","Debapriya Sengupta","Debapriya Sengupta, Rahul Mazumder","Projected likelihood contrasts for testing homogeneity in finite mixture
  models with nuisance parameters","Published in at http://dx.doi.org/10.1214/193940307000000194 the IMS
  Collections (http://www.imstat.org/publications/imscollections.htm) by the
  Institute of Mathematical Statistics (http://www.imstat.org)","IMS Collections 2008, Vol. 1, 272-281","10.1214/193940307000000194","IMS-COLL1-IMSCOLL120","math.ST stat.ME stat.TH","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  This paper develops a test for homogeneity in finite mixture models where the
mixing proportions are known a priori (taken to be 0.5) and a common nuisance
parameter is present. Statistical tests based on the notion of Projected
Likelihood Contrasts (PLC) are considered. The PLC is a slight modification of
the usual likelihood ratio statistic or the Wilk's $\Lambda$ and is similar in
spirit to the Rao's score test. Theoretical investigations have been carried
out to understand the large sample statistical properties of these tests.
Simulation studies have been carried out to understand the behavior of the null
distribution of the PLC statistic in the case of Gaussian mixtures with unknown
means (common variance as nuisance parameter) and unknown variances (common
mean as nuisance parameter). The results are in conformity with the theoretical
results obtained. Power functions of these tests have been evaluated based on
simulations from Gaussian mixtures.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 07:19:17 GMT""}]","2008-12-18"
"0805.2461","Guo-Niu Han","Guo-Niu Han, Ken Ono","Hook lengths and 3-cores","7 pages",,,,"math.NT math.CO","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Recently, the first author generalized a formula of Nekrasov and Okounkov
which gives a combinatorial formula, in terms of hook lengths of partitions,
for the coefficients of certain power series. In the course of this
investigation, he conjectured that $A000731(n)=0$ if and only if
$A033687(n)=0$. The numbers $A000731(n)$ are given in terms of hook lengths of
partitions, while $A033687(n)$ equals the number of 3-core partitions of $n$.
Here we prove this conjecture.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 07:33:40 GMT""}]","2008-05-19"
"0805.2462","Tetsuo Hatsuda","S. Aoki, T. Hatsuda, N. Ishii","Nuclear Force from Monte Carlo Simulations of Lattice Quantum
  Chromodynamics","13 pages, 4 figures, version accepted for publication in
  ""Computational Science & Discovery"" (IOP)","Comput.Sci.Dis.1:015009,2008","10.1088/1749-4699/1/1/015009","UTHEP-560, UTCCS-P-42, TKYNT-08-06","hep-ph hep-lat nucl-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The nuclear force acting between protons and neutrons is studied in the Monte
Carlo simulations of the fundamental theory of the strong interaction, the
quantum chromodynamics defined on the hypercubic space-time lattice. After a
brief summary of the empirical nucleon-nucleon (NN) potentials which can fit
the NN scattering experiments in high precision, we outline the basic
formulation to derive the potential between the extended objects such as the
nucleons composed of quarks. The equal-time Bethe-Salpeter amplitude is a key
ingredient for defining the NN potential on the lattice. We show the results of
the numerical simulations on a $32^4$ lattice with the lattice spacing $a
\simeq 0.137 $fm (lattice volume (4.4 fm)$^4$) in the quenched approximation.
The calculation was carried out using the massively parallel computer Blue
Gene/L at KEK. We found that the calculated NN potential at low energy has
basic features expected from the empirical NN potentials; attraction at long
and medium distances and the repulsive core at short distance. Various future
directions along this line of research are also summarized.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 07:40:58 GMT""},{""version"":""v2"",""created"":""Fri, 24 Oct 2008 12:20:16 GMT""}]","2009-07-09"
"0805.2463","Andrey Timopheev","A.A. Timopheev, S.M. Ryabchenko, V.M. Kalita, A.F. Lozenko, P.A.
  Trotsenko, V.A. Stephanovich, A.M. Grishin, M. Munakata","The influence of intergranular interaction on the magnetization of the
  ensemble of oriented Stoner-Wohlfarth nanoparticles",,,"10.1063/1.3098227",,"cond-mat.mes-hall","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We consider the influence of interparticle interaction on the magnetization
reversal in the oriented Stoner-Wohlfarth nanoparticles ensemble. To do so, we
solve a kinetic equation for the relaxation of the overall ensemble
magnetization to its equilibrium value in some effective mean field. Latter
field consists of external magnetic field and interaction mean field
proportional to the instantaneous value of above magnetization. We show that
the interparticle interaction influences the temperature dependence of a
coercive field. This influence manifests itself in the noticeable coercivity at
$T>T_{b}$ ($T_{b}$ is so-called blocking temperature). The above interaction
can also lead to a formation of the ""superferromagnetic"" state with correlated
directions of particle magnetic moments at $T>T_{b}$. This state possesses
coercivity if the overall magnetization has a component directed along the easy
axis of each particle. We have shown that the coercive field in the
""superferromagnetic"" state does not depend on measuring time. This time
influences both $T_{b}$ and the temperature dependence of coercive field at
$T<T_{b}$. We corroborate our theoretical results by measurements on
nanogranular films (CoFeB)$_{x}$-(SiO$_{2}$)$_{1-x}$ with concentration of
ferromagnetic particles close, but below percolation threshold.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 07:47:07 GMT""},{""version"":""v2"",""created"":""Thu, 21 Aug 2008 07:27:56 GMT""},{""version"":""v3"",""created"":""Mon, 1 Dec 2008 08:56:37 GMT""}]","2015-05-13"
"0805.2464","Guo-Niu Han","Guo-Niu Han","Discovering hook length formulas by expansion technique","42 pages",,,,"math.CO","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We introduce the hook length expansion technique and explain how to discover
old and new hook length formulas for partitions and plane trees. The new hook
length formulas for trees obtained by our method can be proved rather easily,
whereas those for partitions are much more difficult and some of them still
remain open conjectures. We also develop a Maple package HookExp for computing
the hook length expansion. The paper can be seen as a collection of hook length
formulas for partitons and plane trees. All examples are illustrated by HookExp
and, for many easy cases, expained by well-known combinatorial arguments.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 07:48:11 GMT""}]","2008-05-19"
"0805.2465","Yan  Sherry H.F.","Sherry H.F. Yan","Schr\""oder Paths and Pattern Avoiding Partitions","6 pages",,,,"math.CO","http://creativecommons.org/licenses/by-nc-sa/3.0/","  In this paper, we show that both 12312-avoiding partitions and 12321-avoiding
partitions of the set $[n+1]$ are in one-to-one correspondence with Schr\""oder
paths of semilength $n$ without peaks at even level. As a consequence, the
refined enumeration of 12312-avoiding (resp. 12321-avoiding) partitions
according to the number of blocks can be reduced to the enumeration of certain
Schr\""oder paths according to the number of peaks. Furthermore, we get the
enumeration of irreducible 12312-avoiding (resp. 12321-avoiding) partitions,
which are closely related to skew Dyck paths.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 07:54:16 GMT""},{""version"":""v2"",""created"":""Mon, 9 Mar 2009 08:14:01 GMT""}]","2009-03-09"
"0805.2466","Dongsu Ryu","Dongsu Ryu (Chungnam National University, Korea), Hyesung Kang (Pusan
  National University, Korea), Jungyeon Cho (Chungnam National University,
  Korea), and Santabrata Das (Sejong University, Korea)","Turbulence and Magnetic Fields in the Large Scale Structure of the
  Universe","Appeared in Science 320, 909 (16 May 2008). Pdf with full resolution
  figures can be downloaded from http://canopus.cnu.ac.kr/ryu/rkcd.pdf",,"10.1126/science.1154923",,"astro-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The nature and origin of turbulence and magnetic fields in the intergalactic
space are important problems that are yet to be understood. We propose a
scenario in which turbulent flow motions are induced via the cascade of the
vorticity generated at cosmological shocks during the formation of the large
scale structure. The turbulence in turn amplifies weak seed magnetic fields of
any origin. Supercomputer simulations show that the turbulence is subsonic
inside clusters/groups of galaxies, whereas it is transonic or mildly
supersonic in filaments. Based on a turbulence dynamo model, we then estimate
that the average magnetic field strength would be a few microgauss inside
clusters/groups, approximately 0.1 microgauss around clusters/groups, and
approximately 10 nanogauss in filaments. Our model presents a physical
mechanism that transfers the gravitation energy to the turbulence and magnetic
field energies in the large scale structure of the universe.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 07:54:58 GMT""}]","2009-11-13"
"0805.2467","Sergey Barsuk","Sergey Barsuk","Heavy flavours","Talk given at the QCD section of ""Rencontres de Moriond""",,,,"hep-ex","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The paper introduces the selection of new results on heavy flavours presented
at the QCD and High Energy Interactions section of the XLIIIth ``Rencontres de
Moriond'' conference.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 07:59:36 GMT""}]","2008-05-19"
"0805.2468","Noah Kieserman","Noah Kieserman","The Liouville phenomenon in the deformation problem of coisotropics","27 pages, 3 figures",,,,"math.GT math.SG","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The work of Oh and Park ([OP]) on the deformation problem of coisotropic
submanifolds opened the possibility of studying a large and interesting class
of foliations with some explicit geometric tools. These tools assemble into the
structure of an L-infinity algebra on the shifted foliation complex
(\Omega^*[1](\fol), d_\fol), which allows a concise description of deformations
in terms of a Maurer-Cartan equation. Infinitesimal deformations are given by
d_\fol-closed forms, and the relation between infinitesimal deformations and
full deformations can be studied in terms of obstruction classes lying in the
foliation cohomology H^*_\fol. Closely related to the foliation cohomology is
Haefliger's group \Omega^*_c(T/H), an under-appreciated model for the leaf
space of a foliation. We make integral use of this group in showing solvability
and unsolvability of the obstruction equations. We also show the L-infinity
apparatus to be capable of detecting the Liouville/diophantine distinction of
KAM theory, and argue for the greater significance of Haefliger's
integration-over-leaves map in passing this fine structure to a geometric model
for the leaf space.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 07:59:36 GMT""}]","2008-05-28"
"0805.2469","Bin Gong","Bin Gong and Jian-Xiong Wang","QCD corrections to polarization of J/\psi and \Upsilon at Fermilab
  Tevatron and CERN LHC","12 pages, 12 figures, two columns, use revtex4; to appear in PRD","Phys.Rev.D78:074011,2008","10.1103/PhysRevD.78.074011",,"hep-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this work, we present more detail of the calculation on the NLO QCD
corrections to polarization of direct J/psi production via color singlet at
Tevatron and LHC, as well as the results for Upsilon for the first time. Our
results show that the J/psi polarization status drastically changes from
transverse polarization dominant at LO into longitudinal polarization dominant
in the whole range of the transverse momentum $p_t$ of J/psi when the NLO
corrections are counted. For Upsilon production, the p_t distribution of the
polarization status behaves almost the same as that for J/psi except that the
NLO result is transverse polarization at small p_t range. Although the
theoretical evaluation predicts a larger longitudinal polarization than the
measured value at Tevatron, it may provide a solution towards the previous
large discrepancy for J/psi and Upsilon polarization between theoretical
predication and experimental measurement, and suggests that the next important
step is to calculate the NLO corrections to hadronproduction of color octet
state J/psi^(8) and Upsilon^(8). Our calculations are performed in two ways,
namely we do and do not analytically sum over the polarizations, and then check
them with each other.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 09:21:26 GMT""},{""version"":""v2"",""created"":""Tue, 20 May 2008 02:40:29 GMT""},{""version"":""v3"",""created"":""Wed, 21 May 2008 08:08:41 GMT""},{""version"":""v4"",""created"":""Mon, 29 Sep 2008 06:12:19 GMT""}]","2009-01-14"
"0805.2470","Michael R. Kosorok","Michael R. Kosorok","Bootstrapping the Grenander estimator","Published in at http://dx.doi.org/10.1214/193940307000000202 the IMS
  Collections (http://www.imstat.org/publications/imscollections.htm) by the
  Institute of Mathematical Statistics (http://www.imstat.org)","IMS Collections 2008, Vol. 1, 282-292","10.1214/193940307000000202","IMS-COLL1-IMSCOLL121","math.ST stat.TH","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The goal of this paper is to study the bootstrap for the Grenander estimator.
The first result is a proof of the inconsistency of the nonparametric bootstrap
for the Grenander estimator at a given point. The second result is the
development and verification of a bootstrap for the $L_1$ confidence band for
the Grenander estimator. As part of this work, kernel estimators are studied as
alternatives to the Grenander estimator. We show that when the second
derivative of the true density is assumed to be uniformly bounded, there exist
kernel estimators with faster convergence rates than the Grenander estimator.
We study the implications of this in developing $L_1$ and uniform confidence
bands and discuss some open questions.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 08:17:48 GMT""}]","2008-12-18"
"0805.2471","Shogo Tanimura","Shogo Tanimura, Tomonori Koda","Characterization of Geometric Structures of Biaxial Nematic Phases","30 pages, 7 figures, minor corrections were made",,,,"cond-mat.soft cond-mat.stat-mech","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The ordering matrix, which was originally introduced by de Gennes, is a
well-known mathematical device for describing orientational order of biaxial
nematic liquid crystal. In this paper we propose a new interpretation of the
ordering matrix. We slightly modify the definition of the ordering matrix and
call it the geometric order parameter. The geometric order parameter is a
linear transformation which transforms a tensorial quantity of an individual
molecule to a tensorial quantity observed at a macroscopic scale. The degree of
order is defined as the singular value of the geometric order parameter. We
introduce the anisotropy diagram, which is useful for classification and
comparison of various tensorial quantities. As indices for evaluating
anisotropies of tensorial quantities, we define the degree of anisotropy and
the degree of biaxiality. We prove that a simple diagrammatic relation holds
between a microscopic tensor and a macroscopic tensor. We provide a
prescription to formulate the Landau-de Gennes free energy of a system whose
constituent molecules have an arbitrary shape. We apply our prescription to a
system which consists of D_{2h}-symmetric molecules.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 08:24:56 GMT""},{""version"":""v2"",""created"":""Thu, 22 May 2008 11:04:34 GMT""}]","2008-05-22"
